City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Luderitz,NA,2022-02-02 15:20:28,-26.6481,15.1594,69.94,75,18,10.31
1,Cabo San Lucas,MX,2022-02-02 15:20:29,22.8909,-109.9124,69.51,54,40,9.22
2,Avarua,CK,2022-02-02 15:20:29,-21.2078,-159.775,77.05,88,75,10.36
3,Rikitea,PF,2022-02-02 15:20:30,-23.1203,-134.9692,77.5,72,46,6.73
4,Torbay,CA,2022-02-02 15:20:30,47.6666,-52.7314,28.89,81,75,6.91
5,Nikolskoye,RU,2022-02-02 15:20:31,59.7035,30.7861,22.89,99,98,1.72
6,Kavaratti,IN,2022-02-02 15:20:31,10.5669,72.642,80.98,68,5,12.55
7,Bluff,NZ,2022-02-02 15:20:31,-46.6,168.3333,56.8,87,100,18.52
8,Corumba,BR,2022-02-02 15:20:32,-19.0092,-57.6533,89.31,66,75,8.05
9,Huarmey,PE,2022-02-02 15:20:32,-10.0681,-78.1522,74.62,73,97,10.25
10,Talnakh,RU,2022-02-02 15:20:33,69.4865,88.3972,-0.8,98,95,6.08
11,Bud,US,2022-02-02 15:20:33,39.447,-86.1758,44.85,97,100,10.33
12,New Norfolk,AU,2022-02-02 15:20:33,-42.7826,147.0587,56.7,61,69,1.99
13,Hithadhoo,MV,2022-02-02 15:20:34,-0.6,73.0833,82.6,70,32,7.25
14,Port Alfred,ZA,2022-02-02 15:20:34,-33.5906,26.891,85.86,61,99,7.85
15,Kodiak,US,2022-02-02 15:20:34,57.79,-152.4072,36.91,87,100,0.0
16,Waingapu,ID,2022-02-02 15:20:35,-9.6567,120.2641,79.16,84,59,7.99
17,Bambous Virieux,MU,2022-02-02 15:20:35,-20.3428,57.7575,81.21,89,75,34.52
18,Ryotsu,JP,2022-02-02 15:20:35,38.0833,138.4333,35.49,82,91,8.63
19,Lompoc,US,2022-02-02 15:20:36,34.6391,-120.4579,47.57,50,0,9.22
20,Tiksi,RU,2022-02-02 15:20:36,71.6872,128.8694,-7.76,100,100,5.79
21,Kaitangata,NZ,2022-02-02 15:20:36,-46.2817,169.8464,61.16,100,100,2.21
22,Pizarro,CO,2022-02-02 15:20:37,4.9533,-77.366,80.98,72,25,2.93
23,Airai,TL,2022-02-02 15:20:37,-8.9266,125.4092,61.07,88,79,2.44
24,Mughal Sarai,IN,2022-02-02 15:20:37,25.3,83.1167,60.87,59,0,7.34
25,Constitucion,CL,2022-02-02 15:20:38,-35.3333,-72.4167,66.24,65,0,7.16
26,Yuli,NG,2022-02-02 15:20:38,9.6989,10.2744,92.59,9,3,5.17
27,Tuktoyaktuk,CA,2022-02-02 15:20:39,69.4541,-133.0374,-27.4,68,40,8.05
28,Flin Flon,CA,2022-02-02 15:20:39,54.7682,-101.865,-25.76,68,0,6.91
29,Victoria,HK,2022-02-02 15:20:37,22.2855,114.1577,61.25,92,100,1.01
30,Leopold,AU,2022-02-02 15:20:39,-38.1833,144.4667,61.57,78,100,5.99
31,Hilo,US,2022-02-02 15:19:42,19.7297,-155.09,67.8,76,100,9.22
32,Albany,US,2022-02-02 15:20:40,42.6001,-73.9662,40.68,79,100,1.99
33,Lebu,CL,2022-02-02 15:20:40,-37.6167,-73.65,65.41,71,37,6.15
34,Nouadhibou,MR,2022-02-02 15:20:41,20.931,-17.0347,82.38,32,4,17.27
35,Mataura,NZ,2022-02-02 15:20:41,-46.1927,168.8643,56.48,99,100,6.26
36,Aklavik,CA,2022-02-02 15:20:41,68.2191,-135.0107,-23.8,76,0,4.61
37,Prince Rupert,CA,2022-02-02 15:20:42,54.3161,-130.3201,37.09,93,100,17.27
38,Asfi,MA,2022-02-02 15:20:42,32.2994,-9.2372,67.75,47,96,9.64
39,Hermanus,ZA,2022-02-02 15:20:42,-34.4187,19.2345,76.8,68,19,24.9
40,Jamestown,US,2022-02-02 15:15:58,42.097,-79.2353,40.59,34,100,13.8
41,Te Anau,NZ,2022-02-02 15:20:43,-45.4167,167.7167,61.68,97,100,3.27
42,Warrington,GB,2022-02-02 15:20:43,53.3925,-2.5802,53.91,82,75,4.0
43,Barras,BR,2022-02-02 15:20:44,-4.2444,-42.2944,92.08,42,26,4.38
44,Am Timan,TD,2022-02-02 15:21:44,11.0297,20.2827,91.78,10,4,5.66
45,Kapaa,US,2022-02-02 15:21:44,22.0752,-159.319,70.12,70,75,1.01
46,Ucluelet,CA,2022-02-02 15:21:45,48.9329,-125.5528,41.09,82,100,1.99
47,Ushuaia,AR,2022-02-02 15:21:45,-54.8,-68.3,49.62,65,75,25.32
48,Nanortalik,GL,2022-02-02 15:21:45,60.1432,-45.2371,5.36,79,6,16.91
49,Castro,BR,2022-02-02 15:21:46,-24.7911,-50.0119,75.2,67,89,4.7
50,Half Moon Bay,US,2022-02-02 15:21:46,37.4636,-122.4286,56.3,38,0,4.0
51,Berekum,GH,2022-02-02 15:21:46,7.4534,-2.584,96.69,7,10,4.47
52,Waipawa,NZ,2022-02-02 15:21:47,-41.4122,175.5153,65.44,76,99,14.47
53,Hasaki,JP,2022-02-02 15:21:47,35.7333,140.8333,28.8,34,1,3.78
54,Leningradskiy,RU,2022-02-02 15:21:47,69.3833,178.4167,-13.23,96,36,10.69
55,Gataia,RO,2022-02-02 15:21:48,45.4311,21.43,37.08,97,100,6.87
56,Lagoa,PT,2022-02-02 15:21:48,39.05,-27.9833,58.5,71,1,12.15
57,Tasiilaq,GL,2022-02-02 15:21:48,65.6145,-37.6368,14.16,80,100,6.17
58,Alofi,NU,2022-02-02 15:21:49,-19.0595,-169.9187,73.29,94,95,2.3
59,Busselton,AU,2022-02-02 15:21:49,-33.65,115.3333,73.04,41,99,20.18
60,Sechura,PE,2022-02-02 15:21:50,-5.5569,-80.8222,78.33,56,3,9.66
61,Qaanaaq,GL,2022-02-02 15:21:50,77.484,-69.3632,-23.55,65,32,8.59
62,Cidreira,BR,2022-02-02 15:21:50,-30.1811,-50.2056,79.88,70,3,12.84
63,Mahebourg,MU,2022-02-02 15:21:51,-20.4081,57.7,81.25,89,75,34.52
64,Saskylakh,RU,2022-02-02 15:21:51,71.9167,114.0833,-28.37,100,35,2.86
65,Mangai,CD,2022-02-02 15:21:51,-4.05,19.5333,76.1,88,99,2.51
66,Narsaq,GL,2022-02-02 15:21:52,60.9167,-46.05,5.22,67,0,5.59
67,Dikson,RU,2022-02-02 15:21:52,73.5069,80.5464,-4.83,97,98,13.53
68,Ilulissat,GL,2022-02-02 15:21:53,69.2167,-51.1,5.02,72,75,20.71
69,Walvis Bay,NA,2022-02-02 15:21:53,-22.9575,14.5053,77.95,50,0,17.27
70,Punta Arenas,CL,2022-02-02 15:21:53,-53.15,-70.9167,50.11,71,75,6.91
71,Upernavik,GL,2022-02-02 15:18:09,72.7868,-56.1549,-7.96,64,100,4.97
72,Zhangye,CN,2022-02-02 15:21:54,38.9342,100.4517,24.6,34,78,2.95
73,Chokurdakh,RU,2022-02-02 15:21:54,70.6333,147.9167,-14.33,99,84,7.2
74,Ust-Omchug,RU,2022-02-02 15:21:54,61.15,149.6333,-20.72,99,42,3.87
75,Kavieng,PG,2022-02-02 15:21:55,-2.5744,150.7967,79.97,81,100,11.61
76,Mehran,IR,2022-02-02 15:21:55,33.1222,46.1646,56.68,38,1,8.32
77,Bredasdorp,ZA,2022-02-02 15:21:55,-34.5322,20.0403,79.92,54,35,12.66
78,Rio Gallegos,AR,2022-02-02 15:21:56,-51.6226,-69.2181,53.65,62,75,11.5
79,Mar Del Plata,AR,2022-02-02 15:18:50,-38.0023,-57.5575,84.22,45,0,11.5
80,Muros,ES,2022-02-02 15:21:56,42.7762,-9.0603,68.68,51,5,3.4
81,Santa Maria,BR,2022-02-02 15:21:57,-29.6842,-53.8069,87.1,58,20,5.75
82,Yar-Sale,RU,2022-02-02 15:21:57,66.8333,70.8333,-10.46,95,95,10.09
83,Guozhen,CN,2022-02-02 15:21:58,34.3659,107.359,30.92,83,45,1.16
84,Atuona,PF,2022-02-02 15:21:58,-9.8,-139.0333,78.19,78,82,17.52
85,Marawi,PH,2022-02-02 15:21:58,7.9986,124.2928,68.65,94,100,1.05
86,Derbent,RU,2022-02-02 15:21:29,42.0678,48.2899,42.28,85,5,10.16
87,Vaini,TO,2022-02-02 15:21:59,-21.2,-175.2,73.56,94,40,3.44
88,Umea,SE,2022-02-02 15:22:59,63.8284,20.2597,17.53,86,100,6.91
89,Ostrovnoy,RU,2022-02-02 15:23:00,68.0531,39.5131,20.46,87,100,15.52
90,Vao,NC,2022-02-02 15:23:00,-22.6667,167.4833,77.76,84,50,18.52
91,Saint-Philippe,RE,2022-02-02 15:23:00,-21.3585,55.7679,81.95,94,100,28.92
92,Wanxian,CN,2022-02-02 15:23:01,30.8039,108.3897,44.02,73,99,2.71
93,Iqaluit,CA,2022-02-02 15:23:01,63.7506,-68.5145,4.73,77,100,18.01
94,Abu Kamal,SY,2022-02-02 15:23:01,34.4506,40.9171,57.43,38,15,11.3
95,Hobyo,SO,2022-02-02 15:23:02,5.3505,48.5268,78.33,74,10,17.96
96,Yablochnyy,RU,2022-02-02 15:23:02,47.1661,142.0661,-5.85,84,100,9.86
97,Vila Franca Do Campo,PT,2022-02-02 15:23:03,37.7167,-25.4333,65.19,68,26,9.6
98,Kamenka,RU,2022-02-02 15:23:03,51.3223,42.7678,32.76,99,100,8.23
99,Cape Town,ZA,2022-02-02 15:23:04,-33.9258,18.4232,73.11,87,75,1.99
100,Ngunguru,NZ,2022-02-02 15:23:04,-35.6167,174.5,70.16,87,100,12.12
101,Kahului,US,2022-02-02 15:23:04,20.8947,-156.47,68.68,79,0,3.44
102,Sol-Iletsk,RU,2022-02-02 15:23:05,51.1631,54.9918,31.87,89,100,8.43
103,Port Hardy,CA,2022-02-02 15:23:05,50.6996,-127.4199,41.76,93,100,4.61
104,Derzhavinsk,KZ,2022-02-02 15:23:05,51.1,66.3167,8.94,91,100,4.56
105,Naifaru,MV,2022-02-02 15:21:15,5.4444,73.3657,82.72,69,3,10.87
106,Hobart,AU,2022-02-02 15:20:35,-42.8794,147.3294,57.06,71,100,5.75
107,Safaga,EG,2022-02-02 15:23:06,26.7292,33.9365,66.97,52,3,7.4
108,Killarney,IE,2022-02-02 15:23:06,52.05,-9.5167,51.85,76,100,10.36
109,Bengkulu,ID,2022-02-02 15:23:07,-3.8004,102.2655,77.22,85,94,5.7
